lesson,lesson_title,section,simplified
22,Arts and Culture,core,因为
22,Arts and Culture,core,不过
22,Arts and Culture,core,认真
22,Arts and Culture,core,已经
22,Arts and Culture,core,美丽
22,Arts and Culture,core,城市
22,Arts and Culture,core,到处
22,Arts and Culture,core,新
22,Arts and Culture,core,大楼
22,Arts and Culture,core,一些
22,Arts and Culture,core,地方
22,Arts and Culture,core,活动
22,Arts and Culture,core,比如
22,Arts and Culture,core,京剧
22,Arts and Culture,core,书法
22,Arts and Culture,core,等等
22,Arts and Culture,core,东西
22,Arts and Culture,core,小笼包
22,Arts and Culture,core,机会
22,Arts and Culture,core,尝尝
22,Arts and Culture,core,开始
22,Arts and Culture,core,高兴
22,Arts and Culture,core,收到
22,Arts and Culture,core,看来
22,Arts and Culture,core,开心
22,Arts and Culture,core,同事
22,Arts and Culture,core,热心
22,Arts and Culture,core,老板
22,Arts and Culture,core,学到
22,Arts and Culture,core,来信
22,Arts and Culture,core,保重
22,Arts and Culture,supplemental,心想事成
22,Arts and Culture,supplemental,健康
22,Arts and Culture,supplemental,顺利
